X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,predicted_impact
8,6,aug,thu,90.7,194.1,643.0,6.8,21.3,41,3.6,0.0,2.5776064
3,4,dec,mon,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,2.2062855
2,2,aug,tue,94.6,212.1,680.9,9.5,27.9,27,2.2,0.0,1.99401
6,5,dec,tue,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,1.9139502
2,5,sep,mon,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,1.8975215
7,4,sep,fri,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,1.8904781
1,2,aug,sat,93.7,231.1,715.1,8.4,25.9,32,3.1,0.0,1.875081
4,6,dec,thu,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,1.866552
6,3,sep,mon,91.5,130.1,807.1,7.5,20.6,37,1.8,0.0,1.8211324
8,6,jun,wed,91.2,147.8,377.2,12.7,19.6,43,4.9,0.0,1.7853556
7,4,sep,sat,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,1.7804198
8,6,aug,thu,91.6,248.4,753.8,6.3,20.4,56,2.2,0.0,1.6877495
3,4,aug,sun,91.6,181.3,613.0,7.6,24.6,44,4.0,0.0,1.6513376
1,2,sep,tue,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,1.647006
7,4,jul,sat,91.6,104.2,474.9,9.0,22.1,49,2.7,0.0,1.644961
3,6,sep,mon,90.9,126.5,686.5,7.0,15.6,66,3.1,0.0,1.6282821
1,2,aug,fri,91.0,166.9,752.6,7.1,25.9,41,3.6,0.0,1.6178751
7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,1.606136
8,6,aug,sun,91.4,142.4,601.4,10.6,18.2,43,4.9,0.0,1.5306048
8,5,aug,wed,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,1.5241634
1,4,aug,fri,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,1.4642466
1,5,sep,sun,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,1.4538718
6,5,apr,thu,81.5,9.1,55.2,2.7,5.8,54,5.8,0.0,1.4344121
6,5,sep,sat,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1.3921293
5,6,sep,mon,90.9,126.5,686.5,7.0,14.7,70,3.6,0.0,1.3884127
