Location_X,Location_Y,Month,Hazard_Score,Primary_Justification
8,8,aug,3.5506,Top risk driver: temp (Standardized Magnitude: 1.26)
6,5,aug,2.7793,Top risk driver: temp (Standardized Magnitude: 2.48)
4,4,dec,2.6657,Top risk driver: temp (Standardized Magnitude: 2.46)
4,4,dec,2.6657,Top risk driver: temp (Standardized Magnitude: 2.46)
4,4,dec,2.6657,Top risk driver: temp (Standardized Magnitude: 2.46)
6,5,mar,2.6599,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 4.75)
6,5,dec,2.6213,Top risk driver: temp (Standardized Magnitude: 2.38)
2,5,aug,2.5927,Top risk driver: temp (Standardized Magnitude: 2.45)
7,4,aug,2.4930,Top risk driver: temp (Standardized Magnitude: 2.38)
4,6,dec,2.4659,Top risk driver: temp (Standardized Magnitude: 2.43)
2,5,jun,2.3989,Top risk driver: wind (Standardized Magnitude: 3.01)
3,4,dec,2.3201,Top risk driver: temp (Standardized Magnitude: 2.46)
7,4,feb,2.2806,Top risk driver: temp (Standardized Magnitude: 1.84)
6,3,apr,2.2416,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 4.75)
8,6,jul,2.2254,Top risk driver: temp (Standardized Magnitude: 1.79)
8,6,aug,2.2164,Top risk driver: temp (Standardized Magnitude: 1.48)
4,6,sep,2.2161,Top risk driver: temp (Standardized Magnitude: 1.62)
8,6,aug,2.1937,Top risk driver: temp (Standardized Magnitude: 1.61)
8,6,aug,2.1897,Top risk driver: temp (Standardized Magnitude: 1.69)
8,5,aug,2.1897,Top risk driver: temp (Standardized Magnitude: 1.36)
6,5,feb,2.1631,Top risk driver: temp (Standardized Magnitude: 2.46)
4,3,aug,2.1555,Top risk driver: temp (Standardized Magnitude: 1.73)
6,3,sep,2.1322,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 4.75)
1,5,sep,2.1169,Top risk driver: temp (Standardized Magnitude: 1.54)
6,4,feb,2.1135,Top risk driver: temp (Standardized Magnitude: 2.38)
