Location_X,Location_Y,Month,Hazard_Score,Primary_Justification
9,6,sep,1.6579,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 22.72)
7,9,jan,1.6530,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 37.61)
7,5,aug,1.6173,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 5.73)
4,1,jan,1.6062,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 47.05)
9,4,aug,1.5946,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 22.72)
5,3,aug,1.5936,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 5.83)
3,6,dec,1.5835,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 8.11)
6,9,jan,1.5737,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 12.29)
3,9,jan,1.5620,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 53.87)
1,1,jan,1.5479,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 30.16)
6,3,jan,1.5424,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 26.43)
1,1,dec,1.5378,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 30.16)
3,6,jan,1.5263,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 25.98)
7,1,aug,1.5263,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 42.22)
4,3,dec,1.5252,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 5.77)
3,8,sep,1.5252,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 54.32)
1,4,dec,1.5252,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 7.52)
5,5,dec,1.5198,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 31.29)
7,8,aug,1.5151,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 23.62)
5,6,sep,1.5057,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 26.99)
7,4,dec,1.5054,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 15.47)
5,8,dec,1.4831,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 41.70)
1,2,sep,1.3995,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 49.54)
3,2,dec,1.3995,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 7.55)
9,5,jan,1.2565,Top risk driver: spatial_neighborhood_dc (Standardized Magnitude: 18.75)
